text_raw,created_at,sentiment
我儿子上海测试126，现实就像个傻子一样,Tue Feb 20 14:38:27 +0800 2024,消极
能发微博就已经很聪明了。😁😁😁,Sun Feb 25 14:36:01 +0800 2024,积极
才189分[允悲],Fri Feb 23 23:39:11 +0800 2024,消极
接受自己的平庸[酷],Wed Feb 21 12:04:13 +0800 2024,中性
没事，我才56，没觉得很笨，管他呢！,Mon Feb 26 09:01:35 +0800 2024,积极
[给力]改变是为了满足自己的内心秩序，而不是为了迎合谁的标准。 ​​​,Fri Feb 23 00:01:09 +0800 2024,积极
我120[打call],Tue Feb 20 13:19:55 +0800 2024,中性
我全部作完了，用了一个下午，作的头痛眼花，只错一个题,Sun Mar 17 22:45:50 +0800 2024,中性
138,Thu Feb 22 20:48:59 +0800 2024,中性
我居然一道题都没答对[允悲],Mon Apr 01 21:39:51 +0800 2024,消极
我119,Sun Mar 03 19:08:59 +0800 2024,中性
不以北大，清华论英雄。,Sat Mar 02 11:58:16 +0800 2024,中性
116，感谢你的分享,Fri Mar 01 00:01:37 +0800 2024,积极
我觉得只要付费查询，智商就应该超不过100,Fri Jan 31 05:32:28 +0800 2025,消极
want？还要收费？白做题了[泪],Sun Jan 19 23:29:21 +0800 2025,消极
我昨天上称130，算优秀么？,Tue Aug 20 06:15:13 +0800 2024,中性
人有時不太聰明也是件好事！会開心很多！,Sat May 11 06:54:49 +0800 2024,积极
年轻时候测的，中英文版都是127好像，,Fri Mar 01 23:35:20 +0800 2024,中性
130+,Tue May 14 10:39:26 +0800 2024,中性
回复@lhax 的表态:[舔屏],Sun Apr 07 12:30:36 +0800 2024,中性
[爱橙橙],Sun Mar 24 22:59:35 +0800 2024,中性
加油！未来可期[good][good][good][good],Sun Jan 12 06:48:55 +0800 2025,积极
这个测试还收费吗，太不专业了吧？,Sun Jan 05 21:53:58 +0800 2025,消极
我今年83岁，测得120,Tue Jul 23 08:10:15 +0800 2024,中性
对于我这种天才级别的来说这些题目都是小儿科，给我时间我估计能拿满分[酷][酷][酷][酷],Tue Mar 19 23:42:03 +0800 2024,积极
我的智商无需交给《人工智障》来评定！,Mon Jan 06 04:44:42 +0800 2025,积极
130 依然不是多聪明的人，是大脑功能自动关闭了吗[允悲][允悲][允悲][允悲],Wed Jun 26 14:30:47 +0800 2024,消极
60道题全部答对，只有144 分，但我为啥还是个傻子呢？[笑cry],Fri Apr 19 23:27:01 +0800 2024,消极
就是不知道准不准[允悲][允悲],Tue Mar 19 06:39:58 +0800 2024,中性
102[悲伤],Tue Mar 12 09:23:56 +0800 2024,消极
男士好酒,Sat Nov 09 16:22:26 +0800 2024,中性
我测148,Fri Jun 28 17:23:54 +0800 2024,中性
。,Thu Feb 06 16:47:23 +0800 2025,中性
[心],Wed Feb 05 15:36:40 +0800 2025,中性
[doge],Sun Feb 02 00:48:38 +0800 2025,中性
我测了一次太简单麻烦没有测完我估算在120以上，检测这个的题目给我感觉是在问答一个傻子似的，，，,Fri Jan 31 21:22:56 +0800 2025,消极
有测过的出来说一说到后面要花钱吗？,Mon Jan 27 13:29:09 +0800 2025,中性
[抱抱],Sun Dec 01 07:55:40 +0800 2024,中性
116，用时50分钟,Tue Oct 22 01:24:47 +0800 2024,中性
哇！~这个不错，智商128，情商138 算不算可以的呀！~哈哈！~没感觉到呢,Wed Sep 18 17:03:38 +0800 2024,积极
134,Wed Sep 18 10:46:56 +0800 2024,中性
这个太费脑筋了[嘻嘻],Tue May 14 10:25:12 +0800 2024,消极
[doge][doge],Thu Apr 04 22:51:57 +0800 2024,中性
你这是低智商啊[傻眼]不是不聪明这么简单啦[傻眼],Tue Mar 05 08:30:02 +0800 2024,消极
142,Tue Feb 20 15:43:02 +0800 2024,中性
如果你相信它的测评结果，那么你的智商堪忧。,Sun Feb 02 14:13:06 +0800 2025,中性
[good][good][good][good][good][good][good][good][good]能发微博就已经很聪明了。😁😁😁,Thu Jan 16 15:31:09 +0800 2025,中性
好不容易答完题，废了我半小时时间，结果还链接不上支付宝，给钱居然收不到。晕😵‍💫～看不到结果[允悲][允悲],Sat Jan 04 14:47:56 +0800 2025,消极
